trade_date,ts_code,direction,volume,price,amount,commission,realized_pnl,reason
2015-05-04,IC1505.CFX,BUY,5,8370.2,8370200.0,1925.146,0.0,STRATEGY
2015-05-07,IC1505.CFX,BUY,1,8020.0,1604000.0,368.92,0.0,STRATEGY
2015-05-11,IC1505.CFX,SELL,1,8170.0,1634000.0,375.82,-28366.666666666788,STRATEGY
2015-05-13,IC1505.CFX,SELL,5,8595.0,8595000.0,1976.8500000000001,283166.66666666605,STRATEGY
2015-05-13,IC1506.CFX,BUY,6,8500.0,10200000.0,2346.0,0.0,STRATEGY
2015-05-15,IC1506.CFX,SELL,1,8610.0,1722000.0,396.06,22000.0,STRATEGY
2015-06-17,IC1506.CFX,SELL,5,10837.6,10837600.0,2492.648,2337600.0000000005,STRATEGY
2015-06-17,IC1507.CFX,BUY,5,10720.2,10720200.0,2465.646,0.0,STRATEGY
2015-06-26,IC1507.CFX,BUY,1,9380.0,1876000.0,431.48,0.0,STRATEGY
2015-06-29,IC1507.CFX,SELL,1,8788.0,1757600.0,404.248,-341766.6666666668,STRATEGY
2015-06-30,IC1507.CFX,BUY,1,7768.0,1553600.0,357.32800000000003,0.0,STRATEGY
2015-07-03,IC1507.CFX,SELL,1,7718.0,1543600.0,355.028,-464805.55555555585,STRATEGY
2015-07-07,IC1507.CFX,BUY,1,7303.6,1460720.0,335.9656,0.0,STRATEGY
2015-07-10,IC1507.CFX,SELL,1,6894.0,1378800.0,317.124,-538324.62962963,STRATEGY
2015-07-15,IC1507.CFX,SELL,5,7613.6,7613600.0,1751.1280000000002,-1972023.1481481497,STRATEGY
2015-07-15,IC1508.CFX,BUY,5,7516.0,7516000.0,1728.68,0.0,STRATEGY
2015-07-28,IC1508.CFX,BUY,1,7198.0,1439600.0,331.108,0.0,STRATEGY
2015-07-30,IC1508.CFX,SELL,1,7700.0,1540000.0,354.2,47400.0,STRATEGY
2015-07-31,IC1508.CFX,BUY,1,7275.0,1455000.0,334.65000000000003,0.0,STRATEGY
2015-08-05,IC1508.CFX,SELL,1,7677.0,1535400.0,353.142,49066.666666666606,STRATEGY
2015-08-06,IC1508.CFX,BUY,1,7415.0,1483000.0,341.09000000000003,0.0,STRATEGY
2015-08-19,IC1508.CFX,SELL,6,7793.8,9352560.0,2151.0888,437893.3333333327,STRATEGY
2015-08-19,IC1509.CFX,BUY,6,7422.0,8906400.0,2048.472,0.0,STRATEGY
2015-09-16,IC1509.CFX,SELL,6,5710.4,6852479.999999999,1576.0703999999998,-2053920.0000000005,STRATEGY
2015-09-16,IC1510.CFX,BUY,6,5361.0,6433200.0,1479.636,0.0,STRATEGY
2015-10-14,IC1510.CFX,SELL,6,6645.0,7974000.0,1834.02,1540800.0,STRATEGY
2015-10-14,IC1511.CFX,BUY,7,6432.8,9005920.0,2071.3616,0.0,STRATEGY
2015-10-26,IC1511.CFX,SELL,1,6944.0,1388800.0,319.42400000000004,102239.99999999997,STRATEGY
2015-10-27,IC1511.CFX,BUY,1,6824.0,1364800.0,313.904,0.0,STRATEGY
2015-10-30,IC1511.CFX,SELL,1,6801.0,1360200.0,312.846,62462.85714285714,STRATEGY
2015-11-02,IC1511.CFX,BUY,1,6641.0,1328200.0,305.486,0.0,STRATEGY
2015-11-18,IC1511.CFX,SELL,7,7557.8,10580920.0,2433.6116,1466297.1428571434,STRATEGY
2015-11-18,IC1512.CFX,BUY,7,7280.2,10192280.0,2344.2244,0.0,STRATEGY
2015-12-16,IC1512.CFX,SELL,7,7468.8,10456320.0,2404.9536000000003,264040.0000000005,STRATEGY
2015-12-16,IC1601.CFX,BUY,7,7183.8,10057320.0,2313.1836000000003,0.0,STRATEGY
2016-01-05,IC1601.CFX,BUY,1,6650.0,1330000.0,305.90000000000003,0.0,STRATEGY
2016-01-13,IC1601.CFX,SELL,8,6126.4,9802240.0,2254.5152000000003,-1585080.0000000002,STRATEGY
2016-01-13,IC1602.CFX,BUY,8,5881.2,9409920.0,2164.2816000000003,0.0,STRATEGY
2016-02-17,IC1602.CFX,SELL,8,5870.0,9392000.0,2160.16,-17919.99999999971,STRATEGY
2016-02-17,IC1603.CFX,BUY,8,5702.2,9123520.0,2098.4096,0.0,STRATEGY
2016-03-16,IC1603.CFX,SELL,8,5700.0,9120000.0,2097.6,-3519.999999999709,STRATEGY
2016-03-16,IC1604.CFX,BUY,8,5468.0,8748800.0,2012.2240000000002,0.0,STRATEGY
2016-04-13,IC1604.CFX,SELL,8,6300.0,10080000.0,2318.4,1331200.0,STRATEGY
2016-04-13,IC1605.CFX,BUY,8,6177.0,9883200.0,2273.136,0.0,STRATEGY
2016-05-18,IC1605.CFX,SELL,8,5701.0,9121600.0,2097.968,-761600.0,STRATEGY
2016-05-18,IC1606.CFX,BUY,9,5570.0,10026000.0,2305.98,0.0,STRATEGY
2016-06-15,IC1606.CFX,SELL,9,5688.0,10238400.0,2354.832,212400.0,STRATEGY
2016-06-15,IC1607.CFX,BUY,9,5580.0,10044000.0,2310.12,0.0,STRATEGY
2016-07-13,IC1607.CFX,SELL,9,6394.2,11509560.0,2647.1988,1465559.9999999998,STRATEGY
2016-07-13,IC1608.CFX,BUY,9,6430.0,11574000.0,2662.02,0.0,STRATEGY
2016-08-17,IC1608.CFX,SELL,9,6448.0,11606400.0,2669.472,32400.0,STRATEGY
2016-08-17,IC1609.CFX,BUY,9,6384.6,11492280.0,2643.2244,0.0,STRATEGY
2016-09-19,IC1609.CFX,SELL,9,6299.0,11338200.0,2607.786,-154080.00000000064,STRATEGY
2016-09-19,IC1610.CFX,BUY,9,6180.2,11124360.0,2558.6028,0.0,STRATEGY
2016-10-19,IC1610.CFX,SELL,9,6510.2,11718360.0,2695.2228,594000.0,STRATEGY
2016-10-19,IC1611.CFX,BUY,9,6433.0,11579400.0,2663.262,0.0,STRATEGY
2016-11-16,IC1611.CFX,SELL,9,6627.0,11928600.0,2743.578,349200.0,STRATEGY
2016-11-16,IC1612.CFX,BUY,9,6539.4,11770920.0,2707.3116,0.0,STRATEGY
2016-12-14,IC1612.CFX,SELL,9,6231.0,11215800.0,2579.634,-555119.9999999993,STRATEGY
2016-12-14,IC1701.CFX,BUY,9,6124.0,11023200.0,2535.3360000000002,0.0,STRATEGY
2017-01-18,IC1701.CFX,SELL,9,6059.0,10906200.0,2508.426,-117000.0,STRATEGY
2017-01-18,IC1702.CFX,BUY,9,5978.2,10760760.0,2474.9748,0.0,STRATEGY
2017-01-19,IC1702.CFX,BUY,1,5984.6,1196920.0,275.2916,0.0,STRATEGY
2017-01-26,IC1702.CFX,SELL,1,6162.8,1232560.0,283.4888,36792.00000000019,STRATEGY
2017-02-15,IC1702.CFX,SELL,9,6335.8,11404440.0,2623.0212,642528.0000000017,STRATEGY
2017-02-15,IC1703.CFX,BUY,10,6249.8,12499600.0,2874.908,0.0,STRATEGY
2017-03-15,IC1703.CFX,SELL,10,6464.6,12929200.0,2973.716,429600.00000000035,STRATEGY
2017-03-15,IC1704.CFX,BUY,10,6375.0,12750000.0,2932.5,0.0,STRATEGY
2017-04-19,IC1704.CFX,SELL,10,6400.0,12800000.0,2944.0,50000.0,STRATEGY
2017-04-19,IC1705.CFX,BUY,10,6361.2,12722400.0,2926.152,0.0,STRATEGY
2017-05-17,IC1705.CFX,SELL,10,6008.8,12017600.0,2764.0480000000002,-704799.9999999993,STRATEGY
2017-05-17,IC1706.CFX,BUY,10,5967.6,11935200.0,2745.096,0.0,STRATEGY
