trade_date,ts_code,direction,volume,price,amount,commission,reason
2015-05-04,IC1505.CFX,BUY,6,8322.4,9986879.999999998,2296.9823999999994,STRATEGY
2015-05-13,IC1505.CFX,SELL,6,8690.8,10428960.0,2398.6608,STRATEGY
2015-05-14,IC1505.CFX,BUY,5,8754.2,8754200.0,2013.4660000000001,STRATEGY
2015-05-15,IC1505.CFX,SELL,5,8755.31,8755310.0,2013.7213000000002,STRATEGY
2015-05-18,IC1506.CFX,BUY,5,8797.0,8797000.0,2023.3100000000002,STRATEGY
2015-05-27,IC1506.CFX,SELL,5,10621.4,10621400.0,2442.922,STRATEGY
2015-06-08,IC1506.CFX,BUY,5,10701.6,10701600.0,2461.368,STRATEGY
2015-06-17,IC1506.CFX,SELL,5,11029.0,11029000.0,2536.67,STRATEGY
2015-06-24,IC1507.CFX,BUY,6,9993.8,11992560.0,2758.2888000000003,STRATEGY
2015-07-03,IC1507.CFX,SELL,6,7424.8,8909760.0,2049.2448,STRATEGY
2015-07-07,IC1507.CFX,BUY,7,6618.4,9265760.0,2131.1248,STRATEGY
2015-07-13,IC1507.CFX,SELL,7,7756.2,10858680.0,2497.4964,STRATEGY
2015-07-15,IC1507.CFX,BUY,7,7151.4,10011960.0,2302.7508000000003,STRATEGY
2015-07-16,IC1507.CFX,SELL,7,7498.0,10497200.0,2414.356,STRATEGY
2015-07-17,IC1507.CFX,BUY,7,7934.85,11108790.0,2555.0217000000002,STRATEGY
2015-07-20,IC1507.CFX,SELL,7,7934.85,11108790.0,2555.0217000000002,STRATEGY
2015-07-20,IC1508.CFX,BUY,7,7701.4,10781960.0,2479.8508,STRATEGY
2015-08-19,IC1508.CFX,SELL,7,8107.0,11349800.0,2610.454,STRATEGY
2015-08-20,IC1508.CFX,BUY,7,8072.4,11301360.0,2599.3128,STRATEGY
2015-08-21,IC1508.CFX,SELL,7,7747.28,10846192.0,2494.6241600000003,STRATEGY
2015-08-24,IC1509.CFX,BUY,8,6523.6,10437760.0,2400.6848,STRATEGY
2015-08-25,IC1509.CFX,BUY,1,5871.4,1174280.0,270.0844,STRATEGY
2015-09-16,IC1509.CFX,SELL,9,6025.2,10845360.0,2494.4328,STRATEGY
2015-09-21,IC1510.CFX,BUY,8,6077.4,9723840.0,2236.4832,STRATEGY
2015-09-25,IC1510.CFX,BUY,1,5785.8,1157160.0,266.1468,STRATEGY
2015-10-14,IC1510.CFX,SELL,9,6663.8,11994840.0,2758.8132,STRATEGY
2015-10-15,IC1510.CFX,BUY,8,6914.2,11062720.0,2544.4256,STRATEGY
2015-10-16,IC1510.CFX,SELL,8,6978.91,11166256.0,2568.23888,STRATEGY
2015-10-19,IC1511.CFX,BUY,9,6633.8,11940840.0,2746.3932,STRATEGY
2015-11-18,IC1511.CFX,SELL,9,7516.0,13528800.0,3111.6240000000003,STRATEGY
2015-11-19,IC1511.CFX,BUY,8,7677.6,12284160.0,2825.3568,STRATEGY
2015-11-20,IC1511.CFX,SELL,8,7804.73,12487568.0,2872.14064,STRATEGY
2015-11-23,IC1512.CFX,BUY,9,7368.8,13263840.0,3050.6832,STRATEGY
2015-12-16,IC1512.CFX,SELL,9,7502.6,13504680.000000002,3106.0764000000004,STRATEGY
2015-12-17,IC1512.CFX,BUY,9,7678.6,13821480.000000002,3178.9404000000004,STRATEGY
2015-12-18,IC1512.CFX,SELL,9,7698.58,13857444.0,3187.21212,STRATEGY
2015-12-21,IC1601.CFX,BUY,9,7588.6,13659480.000000002,3141.6804000000006,STRATEGY
2016-01-07,IC1601.CFX,SELL,9,6612.2,11901960.0,2737.4508,STRATEGY
2016-01-18,IC1602.CFX,BUY,10,5737.0,11474000.0,2639.02,STRATEGY
2016-02-17,IC1602.CFX,SELL,10,5925.0,11850000.0,2725.5,STRATEGY
2016-02-18,IC1602.CFX,BUY,10,5972.0,11944000.0,2747.12,STRATEGY
2016-02-19,IC1602.CFX,SELL,10,5968.37,11936740.0,2745.4502,STRATEGY
2016-02-22,IC1603.CFX,BUY,10,5868.4,11736800.0,2699.464,STRATEGY
2016-03-16,IC1603.CFX,SELL,10,5553.8,11107600.0,2554.748,STRATEGY
2016-03-17,IC1603.CFX,BUY,10,5745.6,11491200.0,2642.976,STRATEGY
2016-03-18,IC1603.CFX,SELL,10,5944.29,11888580.0,2734.3734,STRATEGY
2016-03-21,IC1604.CFX,BUY,10,5908.8,11817600.0,2718.0480000000002,STRATEGY
2016-04-13,IC1604.CFX,SELL,10,6355.8,12711600.0,2923.668,STRATEGY
2016-04-14,IC1604.CFX,BUY,10,6364.8,12729600.0,2927.808,STRATEGY
2016-04-15,IC1604.CFX,SELL,10,6374.38,12748760.0,2932.2148,STRATEGY
2016-04-18,IC1605.CFX,BUY,10,6095.4,12190800.0,2803.884,STRATEGY
2016-04-20,IC1605.CFX,BUY,1,5800.4,1160080.0,266.8184,STRATEGY
2016-05-18,IC1605.CFX,SELL,11,5604.0,12328800.0,2835.6240000000003,STRATEGY
2016-05-19,IC1605.CFX,BUY,10,5659.0,11318000.0,2603.14,STRATEGY
2016-05-20,IC1605.CFX,SELL,10,5689.54,11379080.0,2617.1884,STRATEGY
2016-05-23,IC1606.CFX,BUY,11,5641.4,12411079.999999998,2854.5483999999997,STRATEGY
2016-06-13,IC1606.CFX,SELL,11,5811.4,12785079.999999998,2940.5683999999997,STRATEGY
2016-06-20,IC1607.CFX,BUY,10,5843.6,11687200.0,2688.056,STRATEGY
2016-07-13,IC1607.CFX,SELL,10,6415.4,12830800.0,2951.0840000000003,STRATEGY
2016-07-14,IC1607.CFX,BUY,10,6430.2,12860400.0,2957.8920000000003,STRATEGY
2016-07-15,IC1607.CFX,SELL,10,6439.72,12879440.0,2962.2712,STRATEGY
2016-07-18,IC1608.CFX,BUY,11,6291.6,13841520.000000002,3183.5496000000007,STRATEGY
