ts_code,trade_date,pre_close,pre_settle,open,high,low,close,settle,change1,change2,vol,amount,oi,oi_chg,delv_settle
IC1505.CFX,20150416,,7818.6,7681.0,7790.0,7480.2,7707.8,7642.8,-110.8,-175.8,116888.0,17928587.988,6643.0,,
IC1506.CFX,20150416,,7830.6,7520.0,7757.0,7464.4,7652.4,7597.8,-178.2,-232.8,5285.0,805699.368,856.0,,
IC1509.CFX,20150416,,7866.8,7752.8,7762.8,7516.2,7643.2,7604.0,-223.6,-262.8,743.0,113438.296,215.0,,
IC1512.CFX,20150416,,7928.8,7799.6,7799.6,7525.0,7625.2,7571.0,-303.6,-357.8,484.0,73962.88,226.0,,
IC1505.CFX,20150417,7707.8,7642.8,7722.0,7918.8,7631.2,7758.2,7803.4,115.4,160.6,114214.0,17813998.18,9144.0,2501.0,
IC1506.CFX,20150417,7652.4,7597.8,7651.4,7804.6,7585.4,7674.8,7719.4,77.0,121.6,7740.0,1192446.644,1352.0,496.0,
IC1509.CFX,20150417,7643.2,7604.0,7649.0,7714.0,7569.6,7608.8,7652.8,4.8,48.8,571.0,87254.652,298.0,83.0,
IC1512.CFX,20150417,7625.2,7571.0,7625.2,7706.2,7527.4,7562.0,7577.6,-9.0,6.6,460.0,69831.724,365.0,139.0,
IC1505.CFX,20150420,7758.2,7803.4,7760.0,7857.0,7582.0,7622.2,7621.2,-181.2,-182.2,98781.0,15254160.816,10706.0,1562.0,
IC1506.CFX,20150420,7674.8,7719.4,7719.4,7771.2,7475.4,7505.0,7510.2,-214.4,-209.2,5564.0,847419.772,1491.0,139.0,
IC1509.CFX,20150420,7608.8,7652.8,7590.0,7698.2,7419.0,7419.4,7445.2,-233.4,-207.6,454.0,68499.5,343.0,45.0,
IC1512.CFX,20150420,7562.0,7577.6,7559.8,7638.4,7302.4,7388.2,7376.8,-189.4,-200.8,425.0,63417.74,469.0,104.0,
IC1505.CFX,20150421,7622.2,7621.2,7650.2,8147.0,7640.2,8140.4,8055.6,519.2,434.4,132545.0,20937525.848,16732.0,6026.0,
IC1506.CFX,20150421,7505.0,7510.2,7550.2,8093.2,7530.2,8075.0,7963.2,564.8,453.0,6806.0,1060186.996,1761.0,270.0,
IC1509.CFX,20150421,7419.4,7445.2,7481.6,8024.0,7471.0,8024.0,7862.4,578.8,417.2,610.0,93612.496,401.0,58.0,
IC1512.CFX,20150421,7388.2,7376.8,7462.0,7947.6,7414.4,7941.8,7797.8,565.0,421.0,632.0,95964.752,630.0,161.0,
IC1505.CFX,20150422,8140.4,8055.6,8158.0,8237.8,8104.4,8189.8,8197.2,134.2,141.6,121034.0,19763685.172,14854.0,-1878.0,
IC1506.CFX,20150422,8075.0,7963.2,8135.2,8175.0,8041.2,8126.6,8135.6,163.4,172.4,7002.0,1135295.908,1718.0,-43.0,
IC1509.CFX,20150422,8024.0,7862.4,8075.2,8075.2,7962.6,8029.0,8030.8,166.6,168.4,702.0,112634.772,423.0,22.0,
IC1512.CFX,20150422,7941.8,7797.8,7959.2,8019.8,7900.2,7926.8,7942.0,129.0,144.2,751.0,119375.648,739.0,109.0,
IC1505.CFX,20150423,8189.8,8197.2,8193.0,8378.8,8160.4,8265.6,8266.4,68.4,69.2,132278.0,21853638.912,14805.0,-49.0,
IC1506.CFX,20150423,8126.6,8135.6,8108.0,8306.8,8096.8,8204.0,8194.6,68.4,59.0,5799.0,950168.868,1761.0,43.0,
IC1509.CFX,20150423,8029.0,8030.8,8029.0,8180.0,7984.4,8102.0,8079.2,71.2,48.4,461.0,74434.928,464.0,41.0,
IC1512.CFX,20150423,7926.8,7942.0,7942.0,8113.0,7918.0,8043.0,8017.8,101.0,75.8,486.0,77814.436,800.0,61.0,
IC1505.CFX,20150424,8265.6,8266.4,8247.8,8349.8,8123.8,8327.2,8307.6,60.8,41.2,126381.0,20778778.6,14603.0,-202.0,
IC1506.CFX,20150424,8204.0,8194.6,8167.8,8267.4,8035.4,8240.0,8220.4,45.4,25.8,6943.0,1129412.864,2235.0,474.0,
IC1509.CFX,20150424,8102.0,8079.2,8080.0,8151.0,7948.2,8120.0,8120.4,40.8,41.2,595.0,95667.856,384.0,-80.0,
IC1512.CFX,20150424,8043.0,8017.8,8015.8,8053.0,7862.4,8039.0,8022.0,21.2,4.2,357.0,56851.66,893.0,93.0,
IC1505.CFX,20150427,8327.2,8307.6,8368.0,8548.0,8292.0,8347.2,8361.6,39.6,54.0,125335.0,21056365.708,15187.0,584.0,
IC1506.CFX,20150427,8240.0,8220.4,8220.4,8490.0,8220.4,8262.6,8282.6,42.2,62.2,7851.0,1309540.488,2596.0,361.0,
IC1509.CFX,20150427,8120.0,8120.4,8177.6,8419.8,8140.0,8187.0,8200.6,66.6,80.2,1046.0,173395.58,608.0,224.0,
IC1512.CFX,20150427,8039.0,8022.0,8039.0,8320.8,8026.6,8068.2,8083.8,46.2,61.8,633.0,103297.368,909.0,16.0,
IC1505.CFX,20150428,8347.2,8361.6,8308.0,8419.0,8011.6,8147.0,8087.4,-214.6,-274.2,164120.0,26892373.68,15900.0,713.0,
IC1506.CFX,20150428,8262.6,8282.6,8262.0,8335.0,7940.6,8054.0,8009.0,-228.6,-273.6,9281.0,1504411.104,2753.0,157.0,
IC1509.CFX,20150428,8187.0,8200.6,8144.2,8257.8,7881.8,7993.4,7943.2,-207.2,-257.4,849.0,136356.876,607.0,-1.0,
IC1512.CFX,20150428,8068.2,8083.8,8074.0,8141.4,7777.2,7894.2,7833.0,-189.6,-250.8,537.0,84839.752,929.0,20.0,
IC1505.CFX,20150429,8147.0,8087.4,8138.0,8309.0,8079.0,8302.2,8276.2,214.8,188.8,134158.0,22060645.088,17677.0,1777.0,
IC1506.CFX,20150429,8054.0,8009.0,8066.6,8209.0,7997.0,8209.0,8182.8,200.0,173.8,5535.0,899539.208,2889.0,136.0,
IC1509.CFX,20150429,7993.4,7943.2,8076.6,8118.0,7933.8,8118.0,8105.8,174.8,162.6,679.0,109395.24,690.0,83.0,
IC1512.CFX,20150429,7894.2,7833.0,7900.0,8025.8,7825.6,8024.0,8000.6,191.0,167.6,392.0,62350.86,979.0,50.0,
IC1505.CFX,20150430,8302.2,8276.2,8320.0,8408.0,8291.2,8338.8,8355.4,62.6,79.2,120118.0,20066017.768,16354.0,-1323.0,
IC1506.CFX,20150430,8209.0,8182.8,8236.8,8314.4,8204.6,8234.6,8253.8,51.8,71.0,5500.0,908554.148,3046.0,157.0,
IC1509.CFX,20150430,8118.0,8105.8,8139.4,8224.8,8122.2,8154.0,8174.2,48.2,68.4,354.0,57910.78,711.0,21.0,
IC1512.CFX,20150430,8024.0,8000.6,8056.8,8123.0,8020.4,8041.0,8066.2,40.4,65.6,233.0,37649.476,989.0,10.0,
IC1505.CFX,20150504,8338.8,8355.4,8370.2,8527.4,8202.4,8347.2,8322.4,-8.2,-33.0,101734.0,16908235.348,16271.0,-83.0,
IC1506.CFX,20150504,8234.6,8253.8,8274.8,8384.0,8112.4,8226.4,8208.8,-27.4,-45.0,4384.0,719811.824,3328.0,282.0,
IC1509.CFX,20150504,8154.0,8174.2,8200.0,8299.0,8025.8,8140.4,8122.2,-33.8,-52.0,539.0,87506.432,764.0,53.0,
IC1512.CFX,20150504,8041.0,8066.2,8060.0,8132.0,7919.8,8031.2,8007.2,-35.0,-59.0,231.0,36938.208,986.0,-3.0,
IC1505.CFX,20150505,8347.2,8322.4,8334.8,8345.0,8090.0,8145.0,8139.2,-177.4,-183.2,109987.0,18081200.268,15884.0,-387.0,
IC1506.CFX,20150505,8226.4,8208.8,8217.2,8220.0,7970.4,8019.4,8016.2,-189.4,-192.6,6804.0,1101977.164,3923.0,595.0,
IC1509.CFX,20150505,8140.4,8122.2,8121.8,8127.6,7892.2,7935.4,7932.6,-186.8,-189.6,522.0,83696.288,841.0,77.0,
IC1512.CFX,20150505,8031.2,8007.2,8012.0,8016.0,7780.0,7830.6,7814.2,-176.6,-193.0,210.0,33166.096,971.0,-15.0,
IC1505.CFX,20150506,8145.0,8139.2,8168.0,8280.6,7970.0,8040.8,8058.4,-98.4,-80.8,111973.0,18309550.724,15456.0,-428.0,
IC1506.CFX,20150506,8019.4,8016.2,8118.2,8166.6,7858.8,7933.0,7946.0,-83.2,-70.2,7587.0,1221434.564,4019.0,96.0,
IC1509.CFX,20150506,7935.4,7932.6,7935.4,8071.0,7774.6,7835.2,7850.0,-97.4,-82.6,640.0,102067.6,845.0,4.0,
IC1512.CFX,20150506,7830.6,7814.2,7830.6,7950.0,7601.0,7705.0,7694.8,-109.2,-119.4,448.0,69897.268,1005.0,34.0,
IC1505.CFX,20150507,8040.8,8058.4,8020.0,8068.0,7901.0,7911.4,7928.6,-147.0,-129.8,109599.0,17460415.348,15127.0,-329.0,
IC1506.CFX,20150507,7933.0,7946.0,7900.0,7948.0,7811.0,7834.4,7843.8,-111.6,-102.2,7818.0,1231650.996,4074.0,55.0,
IC1509.CFX,20150507,7835.2,7850.0,7804.0,7859.6,7715.0,7716.0,7736.0,-134.0,-114.0,692.0,107505.8,827.0,-18.0,
IC1512.CFX,20150507,7705.0,7694.8,7710.8,7720.0,7610.0,7612.0,7634.2,-82.8,-60.6,393.0,60142.924,910.0,-95.0,
IC1505.CFX,20150508,7911.4,7928.6,7933.4,8171.4,7921.0,8171.2,8103.0,242.6,174.4,121062.0,19436851.36,16258.0,1131.0,
IC1506.CFX,20150508,7834.4,7843.8,7894.8,8085.0,7854.0,8085.0,8015.6,241.2,171.8,11857.0,1885025.904,4183.0,109.0,
IC1509.CFX,20150508,7716.0,7736.0,7775.8,7976.6,7755.6,7976.6,7910.6,240.6,174.6,1654.0,259472.672,1126.0,299.0,
IC1512.CFX,20150508,7612.0,7634.2,7660.8,7859.0,7644.6,7859.0,7811.0,224.8,176.8,368.0,56935.084,932.0,22.0,
IC1505.CFX,20150511,8171.2,8103.0,8170.0,8508.0,8144.0,8489.8,8442.6,386.8,339.6,124722.0,20742989.844,16314.0,56.0,
IC1506.CFX,20150511,8085.0,8015.6,8118.8,8403.4,8041.4,8394.0,8330.4,378.4,314.8,15844.0,2597981.668,5421.0,1238.0,
IC1509.CFX,20150511,7976.6,7910.6,7976.6,8228.0,7926.0,8211.6,8173.8,301.0,263.2,1714.0,275623.372,1395.0,269.0,
IC1512.CFX,20150511,7859.0,7811.0,7899.8,8116.6,7854.2,8109.0,8081.0,298.0,270.0,343.0,54627.528,983.0,51.0,
IC1505.CFX,20150512,8489.8,8442.6,8499.6,8648.0,8415.4,8647.8,8597.6,205.2,155.0,152019.0,25910436.384,14671.0,-1643.0,
IC1506.CFX,20150512,8394.0,8330.4,8394.0,8565.0,8311.0,8557.6,8497.6,227.2,167.2,30321.0,5106608.276,11079.0,5658.0,
IC1509.CFX,20150512,8211.6,8173.8,8220.2,8349.4,8152.0,8323.8,8304.4,150.0,130.6,1296.0,213642.272,1486.0,91.0,
IC1512.CFX,20150512,8109.0,8081.0,8132.6,8230.0,8042.2,8226.0,8192.4,145.0,111.4,461.0,75081.472,1057.0,74.0,
IC1505.CFX,20150513,8647.8,8597.6,8595.0,8779.0,8492.0,8695.8,8690.8,98.2,93.2,189658.0,32836694.876,14624.0,-47.0,
IC1506.CFX,20150513,8557.6,8497.6,8500.0,8656.6,8400.0,8571.6,8575.2,74.0,77.6,54812.0,9365617.488,16503.0,5424.0,
IC1509.CFX,20150513,8323.8,8304.4,8319.6,8404.6,8207.4,8367.4,8346.4,63.0,42.0,2162.0,359233.596,1931.0,445.0,
IC1512.CFX,20150513,8226.0,8192.4,8182.2,8265.4,8100.0,8203.0,8195.6,10.6,3.2,987.0,161882.024,1325.0,268.0,
IC1505.CFX,20150514,8695.8,8690.8,8689.0,8813.6,8645.2,8760.4,8754.2,69.6,63.4,112711.0,19694181.612,8971.0,-5653.0,
IC1506.CFX,20150514,8571.6,8575.2,8530.0,8680.0,8477.6,8603.0,8593.8,27.8,18.6,133372.0,22869771.18,23309.0,6806.0,
IC1509.CFX,20150514,8367.4,8346.4,8367.4,8445.0,8255.0,8345.0,8329.8,-1.4,-16.6,2254.0,375566.352,2273.0,342.0,
IC1512.CFX,20150514,8203.0,8195.6,8192.6,8278.0,8100.4,8162.8,8138.6,-32.8,-57.0,779.0,127386.084,1357.0,32.0,
IC1505.CFX,20150515,8760.4,8754.2,8754.8,8769.8,8605.4,8755.2,8755.31,1.0,1.11,36739.0,6391501.64,0.0,-8971.0,
IC1506.CFX,20150515,8603.0,8593.8,8610.0,8718.0,8482.0,8579.8,8651.4,-14.0,57.6,182662.0,31349133.68,28064.0,4755.0,
IC1509.CFX,20150515,8345.0,8329.8,8348.0,8483.2,8266.0,8348.6,8415.0,18.8,85.2,2397.0,399863.22,1979.0,-294.0,
IC1512.CFX,20150515,8162.8,8138.6,8147.0,8318.4,8101.4,8216.6,8267.0,78.0,128.4,764.0,125183.028,1431.0,74.0,
IC1506.CFX,20150518,8579.8,8651.4,8640.6,8822.2,8580.0,8798.4,8797.0,147.0,145.6,202968.0,35519413.94,32183.0,4119.0,
IC1507.CFX,20150518,,8651.4,8597.6,8726.6,8485.0,8705.6,8705.8,54.2,54.4,2668.0,461764.592,490.0,,
IC1509.CFX,20150518,8348.6,8415.0,8385.0,8586.0,8346.4,8557.6,8561.0,142.6,146.0,2430.0,413812.004,2156.0,177.0,
IC1512.CFX,20150518,8216.6,8267.0,8282.8,8428.8,8222.2,8378.2,8380.2,111.2,113.2,795.0,133090.132,1475.0,44.0,
IC1506.CFX,20150519,8798.4,8797.0,8805.6,9154.4,8736.2,9120.8,9102.2,323.8,305.2,228488.0,40824663.416,33556.0,1373.0,
IC1507.CFX,20150519,8705.6,8705.8,8705.6,9071.8,8643.0,9043.6,9024.4,337.8,318.6,3071.0,544155.972,620.0,130.0,
IC1509.CFX,20150519,8557.6,8561.0,8591.0,9024.4,8498.0,8969.0,8942.6,408.0,381.6,5180.0,907931.468,2468.0,312.0,
IC1512.CFX,20150519,8378.2,8380.2,8432.6,8848.0,8350.0,8800.4,8778.6,420.2,398.4,1037.0,179387.988,1596.0,121.0,
IC1506.CFX,20150520,9120.8,9102.2,9121.8,9463.6,9111.2,9286.8,9311.4,184.6,209.2,239847.0,44755466.132,35302.0,1746.0,
IC1507.CFX,20150520,9043.6,9024.4,9003.2,9397.0,9003.2,9203.0,9226.6,178.6,202.2,3463.0,640797.688,846.0,226.0,
IC1509.CFX,20150520,8969.0,8942.6,9000.8,9339.0,8963.8,9156.2,9165.8,213.6,223.2,4424.0,813663.216,2407.0,-61.0,
IC1512.CFX,20150520,8800.4,8778.6,8838.0,9181.6,8826.6,8990.8,9038.0,212.2,259.4,1150.0,207945.4,1600.0,4.0,
IC1506.CFX,20150521,9286.8,9311.4,9311.4,9755.0,9301.0,9734.6,9630.0,423.2,318.6,256460.0,48754905.812,38615.0,3313.0,
