ts_code,trade_date,pre_close,pre_settle,open,high,low,close,settle,change1,change2,vol,amount,oi,oi_chg,delv_settle
IM2208.CFX,20220722,,7018.8,7050.0,7085.2,6857.0,6956.6,6934.2,-62.2,-84.6,22153.0,3091913.32,17517.0,,
IM2209.CFX,20220722,,6988.8,6987.0,7043.2,6807.0,6901.2,6877.4,-87.6,-111.4,6710.0,930226.732,5858.0,,
IM2212.CFX,20220722,,6898.8,6895.8,6946.8,6667.6,6737.0,6719.4,-161.8,-179.4,3921.0,533484.84,3613.0,,
IM2303.CFX,20220722,,6798.8,6800.0,6838.6,6530.0,6588.0,6572.4,-210.8,-226.4,3703.0,493444.812,3338.0,,
IM2208.CFX,20220725,6956.6,6934.2,6974.2,7015.8,6850.0,6878.6,6885.8,-55.6,-48.4,22883.0,3169970.476,18747.0,1230.0,
IM2209.CFX,20220725,6901.2,6877.4,6914.0,6959.2,6790.2,6823.0,6833.2,-54.4,-44.2,6248.0,858537.0,6213.0,355.0,
IM2212.CFX,20220725,6737.0,6719.4,6737.4,6799.4,6640.6,6670.0,6673.2,-49.4,-46.2,2763.0,370973.74,3461.0,-152.0,
IM2303.CFX,20220725,6588.0,6572.4,6587.0,6660.0,6497.4,6515.0,6530.4,-57.4,-42.0,2829.0,371971.54,3644.0,306.0,
IM2208.CFX,20220726,6878.6,6885.8,6898.0,6994.0,6844.8,6991.0,6964.4,105.2,78.6,19269.0,2671200.584,20386.0,1639.0,
IM2209.CFX,20220726,6823.0,6833.2,6833.2,6937.8,6793.0,6937.0,6909.0,103.8,75.8,6357.0,874615.768,7765.0,1552.0,
IM2212.CFX,20220726,6670.0,6673.2,6670.0,6780.0,6638.6,6777.2,6751.2,104.0,78.0,2658.0,357531.16,4210.0,749.0,
IM2303.CFX,20220726,6515.0,6530.4,6520.2,6629.2,6487.6,6624.0,6606.0,93.6,75.6,1899.0,250081.464,3684.0,40.0,
IM2208.CFX,20220727,6991.0,6964.4,6982.0,7074.4,6965.2,7066.2,7059.4,101.8,95.0,19290.0,2711399.276,21390.0,1004.0,
IM2209.CFX,20220727,6937.0,6909.0,6910.0,7021.4,6910.0,7015.0,7008.0,106.0,99.0,5374.0,749727.396,7206.0,-559.0,
IM2212.CFX,20220727,6777.2,6751.2,6767.8,6864.6,6753.0,6856.6,6849.4,105.4,98.2,2693.0,367212.744,4272.0,62.0,
IM2303.CFX,20220727,6624.0,6606.0,6609.6,6717.0,6601.2,6715.0,6701.4,109.0,95.4,1124.0,149892.708,3785.0,101.0,
IM2208.CFX,20220728,7066.2,7059.4,7110.0,7171.4,7072.4,7119.0,7112.4,59.6,53.0,22464.0,3199380.992,24584.0,3194.0,
IM2209.CFX,20220728,7015.0,7008.0,7068.8,7126.4,7023.4,7074.0,7068.0,66.0,60.0,7766.0,1099101.184,9682.0,2476.0,
IM2212.CFX,20220728,6856.6,6849.4,6905.2,6970.0,6871.6,6923.0,6921.4,73.6,72.0,3256.0,451024.792,5135.0,863.0,
IM2303.CFX,20220728,6715.0,6701.4,6750.2,6824.8,6724.4,6787.6,6775.2,86.2,73.8,1449.0,196397.196,3892.0,107.0,
IM2208.CFX,20220729,7119.0,7112.4,7130.0,7152.0,7068.0,7087.0,7090.2,-25.4,-22.2,25025.0,3556014.512,25557.0,973.0,
IM2209.CFX,20220729,7074.0,7068.0,7081.6,7105.8,7027.8,7044.8,7047.2,-23.2,-20.8,9450.0,1334339.616,11829.0,2147.0,
IM2212.CFX,20220729,6923.0,6921.4,6938.4,6959.2,6879.4,6891.8,6893.2,-29.6,-28.2,3417.0,472335.7,5281.0,146.0,
