S_INFO_WINDCODE,TRADE_DT,S_DQ_OPEN,S_DQ_HIGH,S_DQ_LOW,S_DQ_CLOSE
000300.SH,20100104,3592.468,3597.748,3535.229,3535.229
000852.SH,20100104,4413.75,4436.056,4393.495,4406.765
000905.SH,20100104,4508.93,4542.71,4487.365,4510.527
000300.SH,20100105,3545.186,3577.526,3497.661,3564.038
000852.SH,20100105,4411.276,4462.232,4378.1,4462.232
000905.SH,20100105,4513.403,4558.21,4480.188,4557.475
000300.SH,20100106,3558.7,3588.832,3541.173,3541.727
000852.SH,20100106,4459.847,4499.507,4445.496,4452.868
000905.SH,20100106,4553.369,4595.102,4538.719,4550.279
000300.SH,20100107,3543.16,3558.556,3452.769,3471.456
000852.SH,20100107,4440.106,4452.182,4345.05,4361.161
000905.SH,20100107,4540.009,4554.932,4436.767,4459.155
000300.SH,20100108,3456.908,3482.083,3426.698,3480.13
000852.SH,20100108,4335.778,4417.793,4323.457,4417.771
000905.SH,20100108,4439.206,4514.719,4426.235,4514.452
000300.SH,20100111,3593.106,3594.528,3465.317,3482.052
000852.SH,20100111,4445.598,4450.024,4398.058,4449.942
000905.SH,20100111,4549.318,4558.461,4502.994,4542.949
000300.SH,20100112,3477.842,3535.407,3437.661,3534.916
000852.SH,20100112,4440.992,4541.602,4435.913,4541.602
000905.SH,20100112,4535.304,4640.353,4524.675,4639.632
000300.SH,20100113,3448.291,3490.112,3415.693,3421.144
000852.SH,20100113,4447.512,4545.42,4430.014,4485.317
000905.SH,20100113,4544.429,4650.059,4526.838,4591.024
000300.SH,20100114,3433.472,3470.323,3411.812,3469.051
000852.SH,20100114,4494.064,4609.304,4494.064,4609.304
000905.SH,20100114,4598.405,4714.873,4598.405,4714.1
000300.SH,20100115,3472.524,3500.072,3448.661,3482.738
000852.SH,20100115,4617.903,4658.087,4617.864,4658.087
000905.SH,20100115,4720.217,4753.189,4712.624,4747.648
000300.SH,20100118,3471.777,3501.26,3458.042,3500.684
000852.SH,20100118,4653.549,4734.051,4644.252,4734.051
