ts_code,symbol,exchange,name,fut_code,multiplier,trade_unit,per_unit,quote_unit,quote_unit_desc,d_mode_desc,list_date,delist_date,d_month,last_ddate
ICL2.CFX,ICL2,CFFEX,中证500期货当季连续,IC,,,,,,,,,,
IC.CFX,IC,CFFEX,中证500期货,IC,,,,,,,,,,
ICL1.CFX,ICL1,CFFEX,中证500期货次月连续,IC,,,,,,,,,,
ICL.CFX,ICL,CFFEX,中证500期货当月连续,IC,,,,,,,,,,
ICL3.CFX,ICL3,CFFEX,中证500期货下季连续,IC,,,,,,,,,,
IFL1.CFX,IFL1,CFFEX,沪深300期货次月,IF,,,,,,,,,,
IFL3.CFX,IFL3,CFFEX,沪深300期货下季,IF,,,,,,,,,,
IFL2.CFX,IFL2,CFFEX,沪深300期货当季,IF,,,,,,,,,,
IF.CFX,IF,CFFEX,沪深300期货,IF,,,,,,,,,,
IFL.CFX,IFL,CFFEX,沪深300期货当月,IF,,,,,,,,,,
IML2.CFX,IML2,CFFEX,中证1000期货当季连续,IM,,,,,,,,,,
IML1.CFX,IML1,CFFEX,中证1000期货次月连续,IM,,,,,,,,,,
IML.CFX,IML,CFFEX,中证1000期货当月连续,IM,,,,,,,,,,
IM.CFX,IM,CFFEX,中证1000期货,IM,,,,,,,,,,
IML3.CFX,IML3,CFFEX,中证1000期货下季连续,IM,,,,,,,,,,
IF1006.CFX,IF1006,CFFEX,IF1006,IF,300.0,张,1.0,指数点,0.2指数点,现金交割,20100416,20100618,201006,20100618
IF1009.CFX,IF1009,CFFEX,IF1009,IF,300.0,张,1.0,指数点,0.2指数点,现金交割,20100416,20100917,201009,20100917
IF1005.CFX,IF1005,CFFEX,IF1005,IF,300.0,张,1.0,指数点,0.2指数点,现金交割,20100416,20100521,201005,20100521
IF1012.CFX,IF1012,CFFEX,IF1012,IF,300.0,张,1.0,指数点,0.2指数点,现金交割,20100416,20101217,201012,20101217
IF1007.CFX,IF1007,CFFEX,IF1007,IF,300.0,张,1.0,指数点,0.2指数点,现金交割,20100524,20100716,201007,20100716
IF1008.CFX,IF1008,CFFEX,IF1008,IF,300.0,张,1.0,指数点,0.2指数点,现金交割,20100621,20100820,201008,20100820
IF1103.CFX,IF1103,CFFEX,IF1103,IF,300.0,张,1.0,指数点,0.2指数点,现金交割,20100719,20110318,201103,20110318
IF1010.CFX,IF1010,CFFEX,IF1010,IF,300.0,张,1.0,指数点,0.2指数点,现金交割,20100823,20101015,201010,20101015
IF1011.CFX,IF1011,CFFEX,IF1011,IF,300.0,张,1.0,指数点,0.2指数点,现金交割,20100920,20101119,201011,20101119
IF1106.CFX,IF1106,CFFEX,IF1106,IF,300.0,张,1.0,指数点,0.2指数点,现金交割,20101018,20110617,201106,20110617
IF1101.CFX,IF1101,CFFEX,IF1101,IF,300.0,张,1.0,指数点,0.2指数点,现金交割,20101122,20110121,201101,20110121
IF1102.CFX,IF1102,CFFEX,IF1102,IF,300.0,张,1.0,指数点,0.2指数点,现金交割,20101220,20110218,201102,20110218
