S_INFO_WINDCODE,LIMIT_PCT,EFFECTIVE_DATE
IFM0906.CFE,20.0,20081020
IFM0812.CFE,20.0,20080421
IFM0903.CFE,20.0,20080721
IFM0809.CFE,20.0,20080121
IFM1003.CFE,20.0,20090720
IFM0909.CFE,20.0,20090119
IFM0912.CFE,20.0,20090420
IFM1006.CFE,20.0,20091019
IF1011.CFE,10.0,20100920
IF1106.CFE,20.0,20101018
IF1007.CFE,20.0,20100716
IF1010.CFE,10.0,20100823
IF1008.CFE,20.0,20100820
IF1011.CFE,20.0,20101119
IF1009.CFE,10.0,20100419
IF1005.CFE,20.0,20100521
IF1012.CFE,10.0,20100419
IF1101.CFE,10.0,20101122
IF1005.CFE,10.0,20100416
IF1102.CFE,10.0,20101220
IF1010.CFE,20.0,20101015
IF1007.CFE,10.0,20100524
IF1101.CFE,20.0,20110121
IF1006.CFE,10.0,20100416
IF1103.CFE,20.0,20100719
IF1009.CFE,20.0,20100917
IF1008.CFE,10.0,20100621
IF1006.CFE,20.0,20100618
IF1012.CFE,20.0,20101217
IF1012.CFE,20.0,20100416
IFM1012.CFE,20.0,20100406
IF1009.CFE,20.0,20100416
IFM1009.CFE,20.0,20100118
IF1111.CFE,10.0,20110919
IF1107.CFE,20.0,20110715
IF1203.CFE,10.0,20110718
IF1110.CFE,20.0,20111021
IF1112.CFE,20.0,20111216
IF1104.CFE,20.0,20110415
IF1104.CFE,10.0,20110221
IF1202.CFE,10.0,20111219
IF1109.CFE,10.0,20110124
IF1105.CFE,10.0,20110321
IF1110.CFE,10.0,20110822
IF1112.CFE,10.0,20110418
IF1108.CFE,10.0,20110620
IF1201.CFE,20.0,20120120
IF1205.CFE,10.0,20120319
IF1204.CFE,20.0,20120420
IF1210.CFE,10.0,20120820
IF1204.CFE,10.0,20120220
IF1211.CFE,20.0,20121116
IF1210.CFE,20.0,20121019
IF1207.CFE,10.0,20120521
IF1301.CFE,10.0,20121119
IF1302.CFE,10.0,20121224
IF1208.CFE,20.0,20120817
IF1102.CFE,20.0,20110218
IF1108.CFE,20.0,20110819
IF1109.CFE,20.0,20110916
IF1111.CFE,20.0,20111118
IF1206.CFE,10.0,20111024
IF1201.CFE,10.0,20111121
IF1107.CFE,10.0,20110523
IF1105.CFE,20.0,20110520
IF1212.CFE,20.0,20121221
IF1203.CFE,20.0,20120316
IF1212.CFE,10.0,20120423
IF1309.CFE,10.0,20130121
IF1310.CFE,10.0,20130819
IF1304.CFE,20.0,20130419
IF1311.CFE,20.0,20131115
IF1305.CFE,10.0,20130318
IF1308.CFE,20.0,20130816
IF1202.CFE,20.0,20120217
IF1205.CFE,20.0,20120518
IF1207.CFE,20.0,20120720
IF1303.CFE,10.0,20120723
IF1208.CFE,10.0,20120618
IF1209.CFE,10.0,20120130
IF1306.CFE,10.0,20121022
IF1209.CFE,20.0,20120921
IF1211.CFE,10.0,20120924
IF1206.CFE,20.0,20120615
IF1305.CFE,20.0,20130517
IF1406.CFE,10.0,20131021
IF1310.CFE,20.0,20131018
IF1402.CFE,10.0,20131223
IF1302.CFE,20.0,20130218
IF1306.CFE,20.0,20130621
IF1304.CFE,10.0,20130219
IF1403.CFE,10.0,20130722
IF1309.CFE,20.0,20130923
IF1312.CFE,20.0,20131220
IF1311.CFE,10.0,20130924
IF1301.CFE,20.0,20130118
IF1308.CFE,10.0,20130624
IF1312.CFE,10.0,20130422
IF1401.CFE,10.0,20131118
IF1303.CFE,20.0,20130315
IF1307.CFE,10.0,20130520
IF1307.CFE,20.0,20130719
IC1902.CFE,10.0,20181224
IF1902.CFE,10.0,20181224
IF1412.CFE,20.0,20141219
IF1403.CFE,20.0,20140321
IF1502.CFE,10.0,20141222
IF1411.CFE,10.0,20140922
IF1409.CFE,10.0,20140120
IF1412.CFE,10.0,20140421
IF1401.CFE,20.0,20140117
IF1407.CFE,20.0,20140718
IF1405.CFE,20.0,20140516
IF1405.CFE,10.0,20140324
IF1404.CFE,20.0,20140418
IF1409.CFE,20.0,20140919
IF1410.CFE,20.0,20141017
IF1607.CFE,20.0,20160715
IC1608.CFE,20.0,20160819
IF1608.CFE,20.0,20160819
IF1610.CFE,10.0,20160822
IC1610.CFE,10.0,20160822
IC1609.CFE,20.0,20160919
IF1609.CFE,20.0,20160919
IF1705.CFE,20.0,20170519
IC1705.CFE,20.0,20170519
IC1704.CFE,20.0,20170421
IF1704.CFE,20.0,20170421
IC1707.CFE,10.0,20170522
IF1707.CFE,10.0,20170522
IC1602.CFE,10.0,20160108
IC1603.CFE,10.0,20160108
IC1606.CFE,10.0,20160108
IF1603.CFE,10.0,20160108
IF1602.CFE,10.0,20160108
IF1606.CFE,10.0,20160108
IF1601.CFE,10.0,20160108
IC1601.CFE,10.0,20160108
IC1608.CFE,10.0,20160620
IF1608.CFE,10.0,20160620
IF1610.CFE,20.0,20161021
IC1610.CFE,20.0,20161021
IF1706.CFE,10.0,20161024
IC1706.CFE,10.0,20161024
IF1702.CFE,10.0,20161219
IC1702.CFE,10.0,20161219
IC1603.CFE,20.0,20160318
IF1603.CFE,20.0,20160318
IC1607.CFE,10.0,20160523
IC1607.CFE,20.0,20160715
IC1604.CFE,20.0,20160415
IF1604.CFE,20.0,20160415
IF1604.CFE,10.0,20160222
IC1604.CFE,10.0,20160222
IC1701.CFE,20.0,20170120
IF1701.CFE,20.0,20170120
IC1606.CFE,20.0,20160617
IF1606.CFE,20.0,20160617
IF1611.CFE,20.0,20161118
IC1611.CFE,20.0,20161118
IF1611.CFE,10.0,20160920
IC1611.CFE,10.0,20160920
IF1601.CFE,20.0,20160115
IC1601.CFE,20.0,20160115
IC1510.CFE,20.0,20151016
IF1510.CFE,20.0,20151016
IF1703.CFE,10.0,20160718
IC1703.CFE,10.0,20160718
IF1508.CFE,20.0,20150821
IC1508.CFE,20.0,20150821
IC1709.CFE,10.0,20170123
IF1709.CFE,10.0,20170123
IC1702.CFE,20.0,20170217
IF1702.CFE,20.0,20170217
IF1705.CFE,10.0,20170320
IC1705.CFE,10.0,20170320
IC1505.CFE,20.0,20150515
IC1505.CFE,10.0,20150416
IC1609.CFE,10.0,20160118
IF1609.CFE,10.0,20160118
IC1701.CFE,10.0,20161121
IF1701.CFE,10.0,20161121
IC1606.CFE,5.0,20160104
IC1603.CFE,5.0,20160104
IF1603.CFE,5.0,20160104
IF1606.CFE,5.0,20160104
IF1602.CFE,5.0,20160104
IC1602.CFE,5.0,20160104
IF1601.CFE,5.0,20160104
IC1601.CFE,5.0,20160104
IC1712.CFE,10.0,20170424
IF1712.CFE,10.0,20170424
IF1605.CFE,20.0,20160520
IC1605.CFE,20.0,20160520
IF1607.CFE,10.0,20160523
IF1602.CFE,20.0,20160219
IC1602.CFE,20.0,20160219
IC1703.CFE,20.0,20170317
IF1703.CFE,20.0,20170317
