S_INFO_WINDCODE,TRADE_DT,LONG_MARGIN_RATIO,SHORT_MARGIN_RATIO
IC2112.CFE,20210419,14,14.0
IF2112.CFE,20210419,12,12.0
IF2111.CFE,20210922,12,12.0
IC2111.CFE,20210922,14,14.0
IC2110.CFE,20210823,14,14.0
IF2110.CFE,20210823,12,12.0
IF1206.CFE,20120420,15,15.0
IF1303.CFE,20120723,12,12.0
IF1304.CFE,20130219,12,12.0
IF1306.CFE,20121022,12,12.0
IF1106.CFE,20110415,15,15.0
IF1112.CFE,20110418,18,18.0
IF1210.CFE,20120820,12,12.0
IF1107.CFE,20110523,15,15.0
IF1204.CFE,20120220,15,15.0
IF1207.CFE,20120629,12,12.0
IF1208.CFE,20120629,12,12.0
IF1209.CFE,20120629,12,12.0
IF1212.CFE,20120629,12,12.0
IF1111.CFE,20110919,15,15.0
IF1211.CFE,20120924,12,12.0
IF1302.CFE,20121224,12,12.0
IF1208.CFE,20120618,15,15.0
IF2108.CFE,20210621,12,12.0
IC2108.CFE,20210621,14,14.0
IF1209.CFE,20120130,18,18.0
IF1212.CFE,20120423,18,18.0
IF1203.CFE,20120120,15,15.0
IF1402.CFE,20131223,12,12.0
IC2203.CFE,20210719,14,14.0
IF2203.CFE,20210719,12,12.0
IF1205.CFE,20120319,15,15.0
IF1108.CFE,20110620,15,15.0
IF1301.CFE,20121119,12,12.0
IF1207.CFE,20120521,15,15.0
IF1105.CFE,20110321,15,15.0
IF1203.CFE,20110718,18,18.0
IF1206.CFE,20111024,18,18.0
IF1009.CFE,20100716,15,15.0
IF1103.CFE,20100719,18,18.0
IFM1009.CFE,20100118,15,15.0
IF1010.CFE,20100823,15,15.0
IF1101.CFE,20101122,15,15.0
IF1109.CFE,20110715,15,15.0
IF1110.CFE,20110822,15,15.0
IF1202.CFE,20111219,15,15.0
IFM1004.CFE,20100223,15,15.0
IF1011.CFE,20100920,15,15.0
IFM1005.CFE,20100322,15,15.0
IF1102.CFE,20101220,15,15.0
IFM1009.CFE,20100402,18,18.0
IFM1012.CFE,20100406,18,18.0
IF1005.CFE,20100416,15,15.0
IF1006.CFE,20100416,15,15.0
IF1009.CFE,20100416,18,18.0
IF1012.CFE,20100416,18,18.0
IF1103.CFE,20110121,15,15.0
IF1109.CFE,20110124,18,18.0
IF1007.CFE,20100524,15,15.0
IF1104.CFE,20110221,15,15.0
IF1012.CFE,20101015,15,15.0
IF1106.CFE,20101018,18,18.0
IF1112.CFE,20111021,15,15.0
IF1008.CFE,20100621,15,15.0
IF1201.CFE,20111121,15,15.0
IF1512.CFE,20150420,10,10.0
IF1511.CFE,20150921,40,40.0
IC1511.CFE,20150921,40,40.0
IF1508.CFE,20150623,10,10.0
IC1508.CFE,20150623,10,10.0
IF1509.CFE,20150119,10,10.0
IC1512.CFE,20150828,20,30.0
IF1512.CFE,20150828,20,20.0
IF1510.CFE,20150828,20,20.0
IF1504.CFE,20150226,10,10.0
IF1505.CFE,20150323,10,10.0
IF1507.CFE,20150518,10,10.0
IF1606.CFE,20151019,40,40.0
IC1606.CFE,20151019,40,40.0
IF1601.CFE,20151123,40,40.0
IC1601.CFE,20151123,40,40.0
IC1510.CFE,20150824,10,30.0
IF1510.CFE,20150824,10,10.0
IF1603.CFE,20150828,20,20.0
IC1603.CFE,20150828,20,30.0
IF1509.CFE,20150828,20,20.0
IC1510.CFE,20150828,20,30.0
IC1509.CFE,20150828,20,30.0
IC1507.CFE,20150518,10,20.0
IC1505.CFE,20150416,10,10.0
IC1509.CFE,20150827,15,30.0
IF1603.CFE,20150827,15,15.0
IF1510.CFE,20150827,15,15.0
IF1509.CFE,20150827,15,15.0
IF1602.CFE,20151221,40,40.0
IC1603.CFE,20150827,15,30.0
IC1512.CFE,20150827,15,30.0
IF1512.CFE,20150827,15,15.0
IC1510.CFE,20150827,15,30.0
IF1510.CFE,20150826,12,12.0
IC1603.CFE,20150826,12,30.0
IC1510.CFE,20150826,12,30.0
IC1512.CFE,20150826,12,30.0
IF1512.CFE,20150826,12,12.0
IF1509.CFE,20150826,12,12.0
IC1509.CFE,20150826,12,30.0
IF1603.CFE,20150826,12,12.0
IC1512.CFE,20150907,40,40.0
IF1509.CFE,20150907,40,40.0
IC1603.CFE,20150907,40,40.0
IC1510.CFE,20150907,40,40.0
IF1510.CFE,20150907,40,40.0
IC1509.CFE,20150907,40,40.0
IF1512.CFE,20150907,40,40.0
IF1603.CFE,20150907,40,40.0
IC1509.CFE,20150416,10,10.0
IC1506.CFE,20150416,10,10.0
IC1512.CFE,20150416,10,10.0
IC1602.CFE,20151221,40,40.0
IF1603.CFE,20150720,10,10.0
IC1603.CFE,20150720,10,30.0
IF1512.CFE,20150831,30,30.0
IF1603.CFE,20150831,30,30.0
IC1603.CFE,20150831,30,30.0
IF1510.CFE,20150831,30,30.0
IC1510.CFE,20150831,30,30.0
IC1512.CFE,20150831,30,30.0
IF1509.CFE,20150831,30,30.0
IC1509.CFE,20150831,30,30.0
IF1412.CFE,20140421,12,12.0
IF1412.CFE,20140901,10,10.0
IF1404.CFE,20140224,12,12.0
IF1407.CFE,20140519,12,12.0
IF1410.CFE,20140818,12,12.0
IF1503.CFE,20140901,10,10.0
IF1405.CFE,20140324,12,12.0
IF1502.CFE,20141222,10,10.0
IF1406.CFE,20131021,12,12.0
IF1310.CFE,20130819,12,12.0
IF1309.CFE,20130121,12,12.0
IF1409.CFE,20140901,10,10.0
IF1409.CFE,20140120,12,12.0
IF1311.CFE,20130924,12,12.0
IF1401.CFE,20131118,12,12.0
IF1411.CFE,20140922,10,10.0
IF1312.CFE,20130422,12,12.0
IF1408.CFE,20140623,12,12.0
IF1503.CFE,20140721,12,12.0
IF1305.CFE,20130318,12,12.0
IC2107.CFE,20210524,14,14.0
IF2107.CFE,20210524,12,12.0
IF1307.CFE,20130520,12,12.0
IF1403.CFE,20130722,12,12.0
IF1506.CFE,20141020,10,10.0
IF1501.CFE,20141124,10,10.0
IF1308.CFE,20130624,12,12.0
IF1410.CFE,20140901,10,10.0
IF1704.CFE,20170220,20,20.0
IC1704.CFE,20170220,30,30.0
IF1710.CFE,20170918,15,15.0
IF1803.CFE,20170918,15,15.0
IF1712.CFE,20170918,15,15.0
IC1712.CFE,20170424,30,30.0
IF1712.CFE,20170424,20,20.0
IF1710.CFE,20170821,20,20.0
IC1710.CFE,20170821,30,30.0
IF1804.CFE,20180223,15,15.0
IC1801.CFE,20171120,30,30.0
IF1801.CFE,20171120,15,15.0
IC1802.CFE,20171218,30,30.0
IF1802.CFE,20171218,15,15.0
IC1811.CFE,20180925,30,30.0
IF1811.CFE,20180925,15,15.0
IF1803.CFE,20170724,20,20.0
IF1809.CFE,20180122,15,15.0
IC1809.CFE,20180122,30,30.0
IF1708.CFE,20170619,20,20.0
IC1708.CFE,20170619,30,30.0
IC1803.CFE,20170724,30,30.0
IC1709.CFE,20170123,40,40.0
IF1709.CFE,20170123,40,40.0
IC1703.CFE,20170220,30,30.0
IC1706.CFE,20170220,30,30.0
IC1709.CFE,20170220,30,30.0
IF1703.CFE,20170220,20,20.0
IF1706.CFE,20170220,20,20.0
IF1709.CFE,20170220,20,20.0
IF1705.CFE,20170320,20,20.0
IC1705.CFE,20170320,30,30.0
IC1707.CFE,20170522,30,30.0
IF1707.CFE,20170522,20,20.0
IC1806.CFE,20171023,30,30.0
IF1806.CFE,20171023,15,15.0
IC1808.CFE,20180619,30,30.0
IF1808.CFE,20180619,15,15.0
IC1711.CFE,20170918,30,30.0
IF1711.CFE,20170918,15,15.0
IF1906.CFE,20181022,15,15.0
IC1906.CFE,20181022,30,30.0
IF1901.CFE,20181119,15,15.0
